frames head.translateX head.translateY head.translateZ chest.translateX chest.translateY chest.translateZ rightShoulder.translateX rightShoulder.translateY rightShoulder.translateZ leftShoulder.translateX leftShoulder.translateY leftShoulder.translateZ rightShoulder.translateX rightShoulder.translateY rightShoulder.translateZ riHand.translateX riHand.translateY riHand.translateZ leHand.translateX leHand.translateY leHand.translateZ riFoot.translateX riFoot.translateY riFoot.translateZ leFoot.translateX leFoot.translateY leFoot.translateZ
65 1.1447 59.4114 6.0604 0.2817 25.3865 3.306 -11.3531 42.4169 2.6628 13.0958 42.2011 2.8545 -11.3531 42.4169 2.6628 -21.0283 13.7588 40.084 19.4194 -7.1846 -0.2594 -11.2286 -87.1881 -10.5206 11.3064 -87.0398 -10.2991
66 1.1264 59.4133 6.0487 0.2842 25.3875 3.2964 -11.3609 42.4095 2.6449 13.0869 42.2099 2.851 -11.3609 42.4095 2.6449 -21.5004 6.5879 33.702 19.4162 -7.1754 -0.2723 -11.2799 -87.1844 -10.5312 11.2597 -87.0363 -10.3349
67 1.1066 59.4162 6.0354 0.2826 25.3888 3.2837 -11.3691 42.4047 2.6249 13.0777 42.2172 2.8467 -11.3691 42.4047 2.6249 -21.5857 1.0563 26.4152 19.4204 -7.1664 -0.2696 -11.3299 -87.1812 -10.538 11.2172 -87.0298 -10.368
68 1.0869 59.4187 6.0231 0.2786 25.3902 3.2715 -11.3802 42.4003 2.6031 13.0658 42.2249 2.8435 -11.3802 42.4003 2.6031 -21.3565 -2.7519 18.9042 19.4321 -7.1566 -0.2477 -11.388 -87.1785 -10.5379 11.1689 -87.024 -10.394
69 1.0729 59.4196 6.0162 0.2747 25.3911 3.2633 -11.3925 42.3949 2.5845 13.053 42.2326 2.8449 -11.3925 42.3949 2.5845 -20.8559 -5.0144 11.8272 19.4387 -7.1485 -0.2182 -11.4566 -87.1759 -10.5333 11.1116 -87.019 -10.4154
70 1.0537 59.4192 6.0147 0.2744 25.3914 3.2605 -11.4035 42.3872 2.5675 13.0413 42.2419 2.8507 -11.4035 42.3872 2.5675 -20.2172 -6.0793 5.708 19.4491 -7.1385 -0.1986 -11.5336 -87.1729 -10.5272 11.0452 -87.0141 -10.4369
71 1.035 59.4187 6.0109 0.2779 25.3918 3.2561 -11.4104 42.3796 2.547 13.0339 42.2509 2.8557 -11.4104 42.3796 2.547 -19.5838 -6.373 0.9387 19.4559 -7.1297 -0.1718 -11.6168 -87.1702 -10.5166 10.9742 -87.0105 -10.4522
72 1.0156 59.4174 6.007 0.2816 25.3922 3.2516 -11.4161 42.3728 2.5282 13.0279 42.2586 2.8587 -11.4161 42.3728 2.5282 -19.0984 -6.3177 -2.1936 19.4708 -7.1169 -0.1248 -11.6937 -87.1679 -10.5043 10.9103 -87.0055 -10.4685
73 0.9919 59.4168 6.0032 0.2848 25.3926 3.2474 -11.421 42.3667 2.5122 13.0224 42.2656 2.8603 -11.421 42.3667 2.5122 -18.8741 -6.2434 -3.4776 19.4749 -7.1118 -0.1042 -11.7657 -87.1652 -10.4962 10.8519 -86.9981 -10.4879
74 0.9801 59.4171 5.996 0.2902 25.3931 3.2419 -11.4238 42.3608 2.4976 13.019 42.2727 2.8576 -11.4238 42.3608 2.4976 -18.8452 -6.2528 -3.5034 19.4828 -7.1035 -0.087 -11.8319 -87.1625 -10.4906 10.798 -86.9902 -10.5102
75 0.9763 59.4179 5.9888 0.2959 25.3934 3.2377 -11.4274 42.3541 2.4881 13.0148 42.2804 2.8532 -11.4274 42.3541 2.4881 -18.8145 -6.2648 -3.5056 19.4856 -7.0955 -0.0829 -11.8907 -87.1597 -10.4876 10.7512 -86.9814 -10.5335
76 0.9742 59.419 5.9807 0.2996 25.3938 3.2332 -11.4313 42.3486 2.4812 13.0105 42.2869 2.8467 -11.4313 42.3486 2.4812 -18.7802 -6.2754 -3.5106 19.4854 -7.0877 -0.082 -11.949 -87.1572 -10.483 10.7064 -86.9732 -10.5545
77 0.9711 59.4196 5.971 0.3027 25.3943 3.2279 -11.4347 42.3441 2.4745 13.0071 42.2921 2.8386 -11.4347 42.3441 2.4745 -18.7435 -6.2844 -3.5214 19.4964 -7.0806 -0.0915 -12 -87.1548 -10.4796 10.6659 -86.9654 -10.5708
78 0.9687 59.4203 5.9609 0.3043 25.3948 3.2222 -11.4368 42.3416 2.4672 13.005 42.2953 2.8299 -11.4368 42.3416 2.4672 -18.7066 -6.2905 -3.5417 19.5022 -7.076 -0.1102 -12.0453 -87.153 -10.474 10.6294 -86.9563 -10.5887
79 0.9658 59.4214 5.9523 0.3037 25.3956 3.2149 -11.438 42.3416 2.4598 13.0035 42.2965 2.8217 -11.438 42.3416 2.4598 -18.6653 -6.2945 -3.5646 19.5225 -7.0714 -0.1306 -12.0814 -87.1518 -10.467 10.6029 -86.9471 -10.6074
80 0.9731 59.4211 5.9502 0.3044 25.396 3.2101 -11.4351 42.3436 2.4558 13.0063 42.2954 2.8166 -11.4351 42.3436 2.4558 -18.6326 -6.2953 -3.5812 19.5408 -7.0703 -0.1433 -12.1084 -87.1508 -10.4626 10.581 -86.9375 -10.6252
81 0.9866 59.42 5.9495 0.3066 25.3964 3.2063 -11.4321 42.3443 2.4534 13.0091 42.2951 2.8098 -11.4321 42.3443 2.4534 -18.6044 -6.2978 -3.5862 19.5636 -7.0675 -0.1655 -12.1164 -87.1505 -10.4613 10.5776 -86.928 -10.6425
82 0.9985 59.4185 5.9497 0.3108 25.3966 3.203 -11.429 42.3441 2.4524 13.0123 42.2959 2.802 -11.429 42.3441 2.4524 -18.5876 -6.3003 -3.5846 19.5809 -7.0653 -0.1862 -12.1116 -87.1504 -10.4634 10.5876 -86.9184 -10.6585
83 1.0147 59.4157 5.9558 0.3183 25.3966 3.2018 -11.4235 42.345 2.4555 13.0188 42.2964 2.7956 -11.4235 42.345 2.4555 -18.5896 -6.299 -3.5757 19.5996 -7.0637 -0.19 -12.1005 -87.1502 -10.4696 10.5981 -86.9105 -10.6659
84 1.0273 59.4126 5.9658 0.32 25.3966 3.2017 -11.4216 42.347 2.4616 13.0215 42.2955 2.7918 -11.4216 42.347 2.4616 -18.6066 -6.2954 -3.5604 19.6153 -7.0627 -0.173 -12.0651 -87.1507 -10.4807 10.6342 -86.9031 -10.6663
85 1.0408 59.4096 5.9761 0.3178 25.3969 3.1993 -11.4204 42.35 2.466 13.0229 42.2928 2.7892 -11.4204 42.35 2.466 -18.6267 -6.2905 -3.5473 19.6169 -7.0671 -0.1501 -12.0072 -87.1518 -10.497 10.6861 -86.897 -10.6566
86 1.0512 59.4062 5.9857 0.3099 25.3974 3.1956 -11.4235 42.3539 2.4692 13.0201 42.2894 2.7852 -11.4235 42.3539 2.4692 -18.6454 -6.2859 -3.5291 19.6179 -7.0716 -0.1257 -11.9321 -87.153 -10.5195 10.7528 -86.8939 -10.6403
87 1.0581 59.4046 5.9943 0.3007 25.3979 3.1919 -11.4271 42.3584 2.4707 13.017 42.2868 2.7855 -11.4271 42.3584 2.4707 -18.6731 -6.28 -3.5103 19.621 -7.0754 -0.0859 -11.8416 -87.1542 -10.5484 10.8307 -86.8922 -10.6148
88 1.071 59.4029 6.0097 0.2997 25.398 3.1919 -11.4206 42.3637 2.4761 13.0238 42.283 2.7926 -11.4206 42.3637 2.4761 -18.695 -6.2721 -3.499 19.6251 -7.0812 -0.0485 -11.728 -87.15 -10.6276 10.9202 -86.8926 -10.5785
89 1.0742 59.4001 6.0251 0.2963 25.3979 3.1932 -11.4192 42.3673 2.4819 13.0258 42.2803 2.798 -11.4192 42.3673 2.4819 -18.7062 -6.2673 -3.4956 19.6151 -7.0864 -0.0127 -11.5748 -87.1379 -10.7807 11.0314 -86.8918 -10.5376
90 1.0743 59.4006 6.0191 0.2964 25.3981 3.1913 -11.4192 42.3677 2.4774 13.0259 42.2804 2.7941 -11.4192 42.3677 2.4774 -18.7118 -6.2668 -3.4941 19.6153 -7.0866 -0.0106 -11.5862 -87.1516 -10.6696 11.0315 -86.8918 -10.5376
